"","Gene","X","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC10min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC10min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC10min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX10min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX10min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX10min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"1","SP_1179",1,16098.1159783746,-0.586472713489175,0.0522099123226505,-11.2329764100129,2.80855203862563e-29,6.22094276555578e-26,19722.0939759283,20394.6487297559,18820.8674783758,12757.8535025996,12553.5905249783,12339.6416586098,"SPD_1042","SP_RS05810","SPT_RS05160","SPT_1044","SPD_RS05540","ribonucleoside-diphosphate reductase 2, alpha subunit","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"nrdE"," Ribonucleoside-diphosphate reductase (EC 1.17.4.1)"
"2","SP_0202",2,2902.97065936583,-0.523503162254798,0.0656432082140352,-7.97497831836421,1.52407573900387e-15,1.68791388094678e-12,3684.9925557335,3330.90641808974,3547.67149044869,2294.08651391258,2477.1241114534,2083.04286655704,"SPD_0187","SP_RS00980","SPT_RS01260","SPT_0249","SPD_RS01015","anaerobic ribonucleoside-triphosphate reductase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"nrdD","anaerobic ribonucleoside triphosphate reductase"
"3","SP_0203",3,675.417317219115,-0.628780084941415,0.0811391830532319,-7.749401229846,9.23268609616102e-15,6.81679990099888e-12,957.735351372968,766.594345816439,898.42329340748,514.217690454882,425.119866733178,490.413355529746,"SPD_0188","SP_RS00985","SPT_RS01265","SPT_0251","SPD_RS01020","hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"4","SP_1180",4,7917.94265387734,-0.39706701232797,0.0600064308801911,-6.6170743119309,3.66377347734088e-11,2.02881456307751e-08,8674.02513001812,9751.94384706208,9034.25650275005,6480.64426525108,6433.94242300253,7132.84375518017,"SPD_1043","SP_RS05815","SPT_RS05155","SPT_1043","SPD_RS05545","ribonucleoside-diphosphate reductase 2, beta subunit","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"nrdF","ribonucleotide-diphosphate reductase subunit beta"
"5","SP_0205",6,392.198000993317,-0.519873124453747,0.0842814103970638,-6.16830119482503,6.90275655542069e-10,2.54826762837614e-07,473.254258388085,468.594290259626,545.256898560219,298.771738395683,309.965198147612,257.345622208679,"SPD_0190","SP_RS00995","SPT_RS01275","SPT_0253","SPD_RS01030","anaerobic ribonucleoside-triphosphate reductase activating protein","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"","Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-)"
"6","SP_1178",7,1105.87247255554,-0.435479690156583,0.0747671707657245,-5.82447731667038,5.72916184528732e-09,1.81287049818734e-06,1198.68049387347,1351.79735346786,1395.65756603946,818.244208169082,877.080295317126,993.774918466218,"SPD_1041","SP_RS05805","SPT_RS05165","SPT_1045","SPD_RS05535","NrdH-redoxin","VARIOUS","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","NrdH-redoxin"
"7","SP_1177",8,6793.57264734029,0.30077770580682,0.0674723942158297,4.45778913439319,8.28093007060509e-06,0.00229278251329879,6321.57148065836,5428.78362079585,6080.86500816332,6798.18307264147,8005.41402813637,8126.61867364639,"SPD_1040","SP_RS05800","SPT_RS05170","SPT_1046","SPD_RS05530","phosphocarrier protein HPr","VARIOUS","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","phosphocarrier protein HPr"
"8","SP_0775",9,4013.5939641284,0.257326196787503,0.0610302176292851,4.21637357334321,2.48262366356761e-05,0.00611001268311363,3837.85022678221,3370.85570089989,3592.69270225641,4233.10008244537,4452.06996892464,4594.99510346188,"SPD_0674","SP_RS03780","SPT_RS03915","SPT_0787","SPD_RS03585","ribosomal protein S16","TRANSCRIPTION AND TRANSLATION","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Translation",NA,NA,1,"rpsP","30S ribosomal protein S16"
"9","SP_0204",10,286.956895029129,-0.373533916997041,0.0900383940692658,-4.1486070565595,3.3450440947724e-05,0.00740927266992087,328.169011291008,318.514552134999,419.19750549859,200.432296863436,170.56744143877,284.860562947971,"SPD_0189","SP_RS00990","SPT_RS01270","SPT_0252","SPD_RS01025","acetyltransferase, GNAT family","VARIOUS METABOLISM AND BIOSYNTHESIS","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","acetyltransferase"
"10","SP_0737",11,4705.57379172204,0.216755409726159,0.0536823040730705,4.03774415925068,5.39676632540235e-05,0.0099615311756385,4376.73828742849,4210.87035025931,4355.05188886722,5165.44807010225,5026.97748727664,5098.35666639835,"SPD_0642","SP_RS03610","SPT_RS03750","SPT_0753","SPD_RS03425","sodium-dependent transporter","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","sodium dependent transporter"
