"","Gene","X","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC60min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC60min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC60min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX60min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX60min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX60min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"1","SP_2230",1,5533.37865438389,1.28022550533246,0.0642123490602688,19.9373722355315,1.92937270743898e-88,3.93977906859039e-85,3067.90818912831,3295.8992490658,3227.77942198878,7768.17418705422,7897.35633356169,7943.15454550451,"SPD_2057","SP_RS11385","SPT_RS11120","SPT_2248","SPD_RS10790","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter"
"2","SP_2240",2,3067.13968047287,1.20519815990329,0.0674279090699155,17.8738771011515,1.88431180291504e-71,1.92388235077625e-68,1840.03392664289,1860.90534142085,1809.9185631031,4381.54901742885,4363.49033448377,4146.94089975779,"SPD_2069","SP_RS11455","SPT_RS11185","SPT_2261","SPD_RS10860","spspoJ protein","UNKNOWN","Intracellular","CELLULAR PROCESSES","GENETIC INFORMATION PROCESSING",NA,"Cell division","Replication",NA,2,"","Chromosome segregation protein Spo0J "
"3","SP_2228",3,7432.43415898168,1.1225845854367,0.0632434236969134,17.7502184387827,1.71684950059049e-70,1.16860222673526e-67,4580.88817208661,4561.62066379981,4780.18182222858,9967.1650338511,10142.043749285,10562.705512639,"SPD_2055","SP_RS11375","SPT_RS11110","SPT_2246","SPD_RS10780","inosine-5-monophosphate dehydrogenase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"guaB","inosine 5'-monophosphate dehydrogenase"
"4","SP_2231",4,2057.00644068811,1.41128550174744,0.0824849931229404,17.1096031934436,1.25853928702357e-65,6.42484306025533e-63,1082.12196149555,1136.85590400182,1090.33439169783,2901.11428293448,3336.69750985898,2794.91459414,"SPD_2058","SP_RS11390","SPT_RS11125","SPT_2249","SPD_RS10795","putative ABC transporter, permease protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","H+-transporting ATP synthase subunit c"
"5","SP_0034",5,9631.68091784215,1.1874459795206,0.0791559942805187,15.0013399530102,7.19519423134896e-51,2.93851732408292e-48,5441.89322817801,6442.18345601032,5511.94169873377,13459.8556587228,14287.1320649416,12647.0794004664,"SPD_0040","SP_RS00210","SPT_RS00365","SPT_0072","SPD_RS00210","membrane protein","UNKNOWN","Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"6","SP_0117",6,9101.54280202264,-0.939620799840354,0.0639190490238713,-14.7001686381385,6.42993867878273e-49,2.18832246367906e-46,12286.5634800293,11799.9308767912,11924.8855748616,6420.69474153058,6259.34119235819,5917.84094656496,"SPD_0126","SP_RS00595","SPT_RS00835","SPT_0163","SPD_RS00685","pneumococcal surface protein A","VARIOUS","Cell Wall","CELLULAR PROCESSES",NA,NA,"Cellular community",NA,NA,1,"","Pneumococcal surface protein A"
"7","SP_1804",8,2585.84837237442,-1.1779403717942,0.0808555122705743,-14.5684609337747,4.45822071773642e-48,1.13796083820222e-45,3954.5087712472,3363.60824623017,3505.38549826696,1643.26761649224,1522.74740904474,1525.57269296523,"SPD_1590","SP_RS08955","SPT_RS08595","SPT_1728","SPD_RS08405","putative general stress protein 24","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"","general stress protein 24"
"8","SP_1802",9,1025.56822048524,-1.24128897832475,0.087171944369954,-14.2395467635409,5.20636223841381e-46,1.18126574342678e-43,1517.95689079697,1406.59981205989,1427.60142296562,636.392731477903,600.605551774617,564.252913836456,"SPD_1588","SP_RS08945","SPT_RS08585","SPT_1726","SPD_RS08395","hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"9","SP_2219",10,2320.83075916305,0.97008973305006,0.0712887882572403,13.6078864119497,3.59490466822667e-42,7.34079533251885e-40,1596.87642938174,1576.96438557025,1493.95901576018,3168.51874052731,2980.27754857859,3108.38843516025,"SPD_2046","SP_RS11330","SPT_RS11065","SPT_2237","SPD_RS10735","conserved hypothetical protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"ecfT","Energy-coupling factor transporter transmembrane protein EcfT"
"10","SP_2227",11,2183.71922637211,1.10705806856227,0.0828576157676542,13.3609693967858,1.02224137252319e-40,1.8976517115385e-38,1275.51038036992,1538.74156459036,1288.79838482653,2990.74706201587,3054.59490220727,2953.92306422274,"SPD_2054","SP_RS11370","SPT_RS11105","SPT_2245","SPD_RS10775","DNA replication and repair protein RecF","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"recF","Recombinational DNA repair ATPase RecF"
"11","SP_1803",12,639.023654767208,-1.29289483680806,0.0969877348908487,-13.3304983177831,1.53866446954575e-40,2.61829403901034e-38,952.011370855807,903.15065572479,891.870398569138,385.420950049998,351.869919221493,349.818634182022,"SPD_1589","SP_RS08950","SPT_RS08590","SPT_1727","SPD_RS08400","conserved hypothetical protein","UNKNOWN","Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"12","SP_2239",13,4324.12918869285,1.01647278923247,0.0770295533176963,13.1958806127329,9.26656257184498e-40,1.45556313628519e-37,2888.73950693588,2871.07989588933,2736.48972120701,5869.45315018,5270.46538489089,6308.54747305397,"SPD_2068","SP_RS11450","SPT_RS11180","SPT_2260","SPD_RS10855","serine protease","PROTEIN TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"htrA","Serine protease"
"13","SP_0013",14,18130.628256028,0.833394567828421,0.0641626163239547,12.988787171967,1.41654047080801e-38,2.06612545813568e-36,12915.075841371,12858.1569776344,13110.7992515938,22334.9946674322,22832.1110515532,24732.6317465835,"SPD_0013","SP_RS00065","SPT_RS00245","SPT_0047","SPD_RS00065","cell division protein FtsH","PROTEIN TURNOVER","Cell Wall","CELLULAR PROCESSES",NA,NA,"Cell division",NA,NA,1,"FtsH","cell division protein FtsH"
"14","SP_2225",15,2342.71646002805,0.874613585305798,0.0683593571592771,12.7943506441693,1.76320092094306e-37,2.40030418704382e-35,1653.75537610949,1647.9496245329,1625.45663083932,3096.81251726219,2975.72750651969,3056.59710490473,"SPD_2052","SP_RS11360","SPT_RS11095","SPT_2243","SPD_RS10765","conserved hypothetical protein","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","M16 family peptidase"
"15","SP_2217",16,1326.5439295637,1.02539101264815,0.0852202687136269,12.0322433632996,2.40534819099588e-33,3.06982562875849e-31,837.542490566199,957.754685696059,797.508684044758,1819.54541535231,1762.38295748006,1784.52934424283,"SPD_2044","SP_RS11320","SPT_RS11055","SPT_2235","SPD_RS10725","putative rod shpae-determining protein MreD","CELL DIVISION","Membrane","CELLULAR PROCESSES",NA,NA,"Cell division",NA,NA,1,"mreD","rod shpae-determining protein"
"16","SP_0036",17,2023.37872956176,0.955586539666631,0.0800112807423397,11.9431476511907,7.05036381922758e-33,8.46873112874277e-31,1281.90926187679,1478.67713162197,1332.02213793124,2709.89768756084,2532.85674612023,2804.90941225949,"SPD_0042","SP_RS00220","SPT_RS00375","SPT_0074","SPD_RS00220","DNA repair protein","DNA TURNOVER","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"DNA repair and editing",NA,NA,1,"recO","DNA repair protein RecO"
"17","SP_0035",18,2022.63190818852,0.871496466001234,0.0735086537648358,11.8556989057271,2.01039751266906e-32,2.28068428937235e-30,1472.45373341477,1417.52061805414,1366.11411221102,2697.94665034998,2513.13989719833,2668.61643790285,"SPD_0041","SP_RS00215","SPT_RS00370","SPT_0073","SPD_RS00215","aromatic amino acid aminotransferase","AMINO ACID METABOLSIM","Intracellular","METABOLISM",NA,NA,"Amino acid metabolism",NA,NA,1,"araT","aromatic amino acid aminotransferase"
"18","SP_2224",20,2658.86373284672,0.896955292530898,0.0761444060827476,11.7796610240306,4.96925078529887e-32,5.07360505179015e-30,1829.36912413144,1903.49648479844,1796.52528749319,3549.45805162323,3188.06280260163,3686.27064643237,"SPD_2051","SP_RS11355","SPT_RS11090","SPT_2242","SPD_RS10760","peptidase, M16 family","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","M16 family peptidase"
