"","Gene","X","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC30min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC30min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC30min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX30min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX30min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX30min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"1","SP_2230",1,4684.79338620049,0.560472414777541,0.0724737726659937,7.73345162201729,1.04669157268796e-14,1.77832898199684e-11,3960.84276699529,3501.14692147212,3699.84070058367,5824.81837449918,5713.38567839845,5408.72587525426,"SPD_2057","SP_RS11385","SPT_RS11120","SPT_2248","SPD_RS10790","ABC transporter, ATP-binding protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","ABC transporter"
"2","SP_2231",2,2569.81928694261,0.588704001724415,0.0783130888760775,7.5173130082505,5.59134442645499e-14,4.74984709027351e-11,2075.06307027209,1985.94752829488,1956.63748358694,3054.92902420502,3410.80218367973,2935.53643161697,"SPD_2058","SP_RS11390","SPT_RS11125","SPT_2249","SPD_RS10795","putative ABC transporter, permease protein","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"","H+-transporting ATP synthase subunit c"
"3","SP_1802",3,3414.77787444914,-0.619171670857633,0.0847583045284644,-7.30514460267073,2.76968717227237e-13,1.56856616856358e-10,4266.51778017984,4181.86904491562,4204.7490757332,2957.01463240358,2302.58349471872,2575.93321874389,"SPD_1588","SP_RS08945","SPT_RS08585","SPT_1726","SPD_RS08395","hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"4","SP_2228",5,4331.99777563499,0.476781753037706,0.0731598412554232,6.51698725497662,7.17335182546945e-11,2.43750495029452e-08,3343.61437498801,3575.65382055549,3784.46221597186,5181.48455577414,4853.38461410592,5253.38707241453,"SPD_2055","SP_RS11375","SPT_RS11110","SPT_2246","SPD_RS10780","inosine-5-monophosphate dehydrogenase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"guaB","inosine 5'-monophosphate dehydrogenase"
"5","SP_0027",6,2585.60448588305,0.493769588451323,0.0761003431756412,6.48840160039348,8.67517855063943e-11,2.45652139292273e-08,2124.44134163268,2067.22778184038,2143.74505650083,3189.83329735368,2818.00009182443,3170.37934614633,"SPD_0033","SP_RS00175","SPT_RS00335","SPT_0066","SPD_RS00180","ribose-phosphate pyrophosphokinase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"prsA","ribose-phosphate pyrophosphokinase"
"6","SP_0034",7,5568.77193265614,0.527730705507321,0.085166282333802,6.19647460292942,5.77418416664243e-10,1.40147698558936e-07,4614.51702595919,4199.47976651715,4532.89250762741,6053.28528870255,7658.24377285967,6354.2132342709,"SPD_0040","SP_RS00210","SPT_RS00365","SPT_0072","SPD_RS00210","membrane protein","UNKNOWN","Membrane","HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"7","SP_1805",8,1901.36175328698,-0.696610338749352,0.113647037000329,-6.12959525506447,8.81029142261417e-10,1.68630690352453e-07,2597.06193894111,2334.09794764808,2462.48609779635,1608.69719270815,949.067388438281,1456.75995418992,"SPD_1591","SP_RS08960","SPT_RS08600","SPT_1729","SPD_RS08410","hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
"8","SP_2225",9,2852.57191769207,0.456387760779944,0.0744831220080457,6.12739837530769,8.93276170201341e-10,1.68630690352453e-07,2376.03539094612,2521.04253080271,2208.62155163177,3361.72745184955,3310.05503013782,3337.94955078446,"SPD_2052","SP_RS11360","SPT_RS11095","SPT_2243","SPD_RS10765","conserved hypothetical protein","UNKNOWN","Intracellular","GENETIC INFORMATION PROCESSING",NA,NA,"Folding, sorting, degradation",NA,NA,1,"","M16 family peptidase"
"9","SP_0202",10,1783.79751753399,-0.486832309389216,0.0799246456009326,-6.09114129601516,1.12108545684972e-09,1.88896467112461e-07,2152.65749669587,2006.94492712747,2168.19127205742,1374.42794417581,1546.24979131714,1454.31367383024,"SPD_0187","SP_RS00980","SPT_RS01260","SPT_0249","SPD_RS01015","anaerobic ribonucleoside-triphosphate reductase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"nrdD","anaerobic ribonucleoside triphosphate reductase"
"10","SP_0203",11,292.058997848604,-0.769815983214887,0.126672803675124,-6.07720016357436,1.22299066405949e-09,1.88896467112461e-07,418.539633437317,365.083805508507,409.94423010279,236.445123905707,154.770989499166,167.570204638135,"SPD_0188","SP_RS00985","SPT_RS01265","SPT_0251","SPD_RS01020","hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"",""
