"","Gene","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC20min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC20min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.NDC20min.c","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX20min.a","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX20min.b","X.ExpOut.180706_NS500751_0080_AHJGYHBGX5.Out.Rep.Bams.WT4.LVX20min.c","D39.old","TIGR4.new","TAIWAN.19F.new","TAIWAN.19F.old","D39.new","GENE.DESCRIPTION","GENE.CATEGORY","Location.Tag","Tag1","Tag2","Tag3","Category1","Category2","Category3","No..of.Categories","Gene.Name","Gene.Description"
"1","SP_1179",1,8801.54716393826,-0.831589047804169,0.0517216978519967,-16.0781467418913,3.63078927248919e-58,5.70033915780803e-55,11131.5054492483,11100.674971016,12096.3566656695,6164.22761387396,6129.62916682074,6186.88911700097,"SPD_1042","SP_RS05810","SPT_RS05160","SPT_1044","SPD_RS05540","ribonucleoside-diphosphate reductase 2, alpha subunit","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"nrdE"," Ribonucleoside-diphosphate reductase (EC 1.17.4.1)"
"2","SP_1180",2,4228.2002500972,-0.663564817704371,0.052969741687068,-12.5272428478988,5.29723970031673e-36,4.15833316474863e-33,5071.27255147354,5400.97741176334,5291.05852143244,3247.25410103306,3147.95010197653,3210.68881290429,"SPD_1043","SP_RS05815","SPT_RS05155","SPT_1043","SPD_RS05545","ribonucleoside-diphosphate reductase 2, beta subunit","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"nrdF","ribonucleotide-diphosphate reductase subunit beta"
"3","SP_0202",3,1647.57262720303,-0.747645653136919,0.0641531072170151,-11.6540832637741,2.18721619666525e-31,1.14464314292148e-28,2023.53311947595,2160.15667439358,2157.21737521767,1114.06571491119,1198.35757850283,1232.10530071695,"SPD_0187","SP_RS00980","SPT_RS01260","SPT_0249","SPD_RS01015","anaerobic ribonucleoside-triphosphate reductase","NUCLEOTIDE METABOLSIM","Intracellular","METABOLISM",NA,NA,"Nucleotide metabolism",NA,NA,1,"nrdD","anaerobic ribonucleoside triphosphate reductase"
"4","SP_1178",4,697.072200974142,-0.624421793361767,0.078785210368352,-7.92562195927825,2.2700722693731e-15,8.9100336572894e-13,893.58890829317,828.801977838101,913.136471914303,566.628165063623,498.813111396938,481.464571338717,"SPD_1041","SP_RS05805","SPT_RS05165","SPT_1045","SPD_RS05535","NrdH-redoxin","VARIOUS","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","NrdH-redoxin"
"5","SP_1975",5,5799.18696202009,0.391411497279461,0.0516032898870264,7.58501053201001,3.32460058563032e-14,1.04392458388792e-11,5064.0160290164,4751.40752241885,5074.93154583142,6582.38101910808,6745.60736137827,6576.77829436748,"SPD_1773","SP_RS09930","SPT_RS09690","SPT_1955","SPD_RS09375","SpoIIIJ family protein","TRANSPORT","Membrane","GENETIC INFORMATION PROCESSING","METABOLISM",NA,"Folding, sorting, degradation",NA,NA,2,"","Membrane protein insertase"
"6","SP_1177",6,6702.05447215057,0.33491401105788,0.0528878138082301,6.33253649455563,2.41163219255016e-10,6.31043757050625e-08,5947.23847665652,5983.18883647788,5665.2283479417,7576.25288082395,7199.62205862557,7840.79623237777,"SPD_1040","SP_RS05800","SPT_RS05170","SPT_1046","SPD_RS05530","phosphocarrier protein HPr","VARIOUS","Intracellular","METABOLISM",NA,NA,"Various metabolism",NA,NA,1,"","phosphocarrier protein HPr"
"7","SP_0418",7,14773.0037623958,0.348670628907146,0.0593449667376793,5.8753193080108,4.22029075853695e-09,9.46550927271859e-07,12398.2869410514,13416.0489769482,12625.867755892,15829.2274561089,16000.7874231007,18367.8040212736,"SPD_0381","SP_RS02065","SPT_RS02290","SPT_0455","SPD_RS02040","acyl carrier protein","LIPOPROTEIN","Intracellular","METABOLISM",NA,NA,"Lipid metabolism",NA,NA,1,"acpP","acyl carrier protein"
"8","SP_2202",9,1532.5144750741,0.370752824745241,0.0641779919328641,5.77694648241849,7.60684678131453e-09,1.32697216074042e-06,1327.94360965609,1251.69599055832,1362.95073988392,1821.08838076598,1692.86315007769,1738.54497950263,"SPD_2029","SP_RS11245","SPT_RS10980","SPT_2220","SPD_RS10650","conserved hypothetical protein","UNKNOWN",NA,"HYPOTHETICAL/UNKNOWN",NA,NA,NA,NA,NA,1,"veg",""
"9","SP_2216",10,13105.4839450062,0.284081548912742,0.0498308284606663,5.70091964529508,1.19162800695536e-08,1.87085597091992e-06,11697.514200905,11675.2719605985,11832.9519141558,14544.4662690128,15086.7274728552,13795.9718525097,"SPD_2043","SP_RS11315","SPT_RS11050","SPT_2234","SPD_RS10720","secreted 45 kd protein","UNKNOWN","Cell Wall","METABOLISM",NA,NA,"Cell wall metabolism",NA,NA,1,"pcsB","protein required for cell wall separation of group B streptococcus"
"10","SP_0366",11,2505.39067282456,-0.306271153793258,0.0575671121127549,-5.32024523296174,1.03627471224514e-07,1.47904663474988e-05,2826.93382008756,2825.54115978162,2727.25227336535,2180.65990797213,2152.04689511149,2319.90998062921,"SPD_0334","SP_RS01790","SPT_RS02070","SPT_0410","SPD_RS01780","oligopeptide ABC transporter, oligopeptide-binding protein AliA","TRANSPORT","Membrane","ENVIRONMENTAL INFORMATION PROCESSING",NA,NA,"Membrane transport",NA,NA,1,"AliA","oligopeptide ABC transporter oligopeptide-binding protein AliA"
